States,ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019
ABIA,Catfish :dried,,,,,,,,,,,,,2233.6738,2333.0344,2385.68,2399.9888,2390.7678,2204.215,2138.89,2178.425,2154.4624,2297.2935,2270.7007,2112.471,2315.347,2582.015,2406.0469,2534.9863,2675.68,2400.658,2489.8281,2688.692,2378.185,2379.136406305021,2380.8018,2208.1868,2303.463,2237.8936,2173.6519,2205.85,2230.2146,2186.7515,2137.3296,2110.37,2176.691
ABIA,Catfish Smoked,,,,,,,,,,,,,2067.47,1747.22,1854.355,1722.4808,1963.5709,1787.365,1783.835,1709.82,1691.012,1678.0,1646.0725,1619.1086,1680.6055,1705.0519,1554.5996,1612.2507,1559.3531,1711.9868,1681.9741,1737.5,1699.6003,1700.28023976024,1721.8105,1725.71,1681.9457,1659.0995,1593.8813,1582.3232,1609.3124,1654.9495,1593.9814,1554.09,1544.228
ABIA,Chicken Feet / 1Kg,652.052,720.8325,724.5367,766.801,783.3333,734.3258,750.0883,687.4575,690.401249999999,723.48364,758.3333,760.11,774.76,731.25,735.7143,777.7778,779.0476,780.0,855.55554,875.55664,865.5644,798.8461,796.8,758.9852,765.3333,722.2222,685.7143,695.1254,681.25,688.46155,696.7311,705.2654,762.5,695,662.5,684.5238,690.902,705.55554,716.6667,715.7143,707.2096,692.1984,650.0,645.2519,600.0
ABIA,Chicken Wings / 1Kg,710.4985,841.6667,825.0,830.0,862.5,865.0,882.355,884.69,898.75,941.6245,981.25,1037.5,1060.095,900.0,920.0,904.7059,916.6667,925.0,950.0,963.3333,953.3333,952.6659,950.25,956.6667,961.45,1033.3334,976.6667,986.0,958.3333,1080.0,1055.5555,1142.8572,1150.0,1083.3333333333333,1083.875,1170.0,1175.0,1183.3334,1140.0,1100.5287,1133.3334,1095.0,1070.0,1050.4414,1000.0
ABIA,Dried Fish Sardine,,,,,,,,,,,,,1759.8,1840.484,1524.31,1543.9072,1596.7773,1601.27,1584.97,1538.945,1562.1366,1527.7103,1538.21,1434.8616,1542.8534,1533.6921,1483.6653,1488.5405,1527.745,1660.5055,1634.8799,1530.9725,1480.9524,1481.6928571428562,1485.8782,1415.6077,1405.7847,1470.9183,1433.5664,1405.3375,1393.1733,1374.2858,1343.9395,1353.53,1337.3738
ABIA,Evaporated tinned milk carnation 170g / 1 unit,125.45,125.60054,125.75126,125.90216,126.053246,126.204506,126.35596,126.50758,126.6593903017725,132.0851,150.0,150.0,158.16,140.0,145.0,150.0,156.76,160.0,170.0,165.55,165.56325,164.75,163.75,174.0,174.5342,174.67383,170.0,170.0,170.153,175.2435,177.12543,172.5,173.71,174.57854999999998,170.0,170.5,171.01,172.03606,170.86342,170.25386,170.35602,171.02,163.33333,164.31334,160.53
ABIA,"Evaporated tinned milk(peak), 170g / 1 unit",133.49207,134.06512,138.48291,135.67857,135.88235,136.72223,136.90973,137.43056,144.16666666666652,161.03395,150.43651,160.31746,177.02715,175.0,175.8,192.8,200.625,193.63637,198.66667,193.2258,198.69565,194.61539,196.78572,196.47058,198.3871,197.0,193.87097,187.91667,195.16129,199.5238,198.14285,193.67741,193.5,191.5,196.76471,189.04762,191.0,193.07692,191.53847,190.72728,195.51724,191.76471,190.34483,200.66,194.66667
ABIA,Frozen chicken / 1 unit,1144.9404,1128.5714,1204.5454,1238.986,1255.6061,1281.8682,1309.375,1332.4675,1329.64285714286,1331.0443,1325.0,1455.5944,1459.485,1509.7222,1488.2354,1504.762,1541.6666,1523.0769,1478.5714,1493.1818,1493.3013,1481.25,1569.4445,1635.2941,1605.2632,1571.4286,1578.9474,1608.8235,1572.7273,1582.4286,1585.9375,1595.8334,1623.0769,1586.1538461538462,1605.8334,1617.6471,1673.6111,1625.0,1615.0,1600.5238,1585.7142,1608.1818,1653.0435,1631.25,1725.625
ABIA,"Gari white,sold loose / 1Kg",114.543175,118.48958,126.82504,138.10397,181.19067,200.24791,187.52658,196.42583,193.976468253968,221.00906,222.44801,224.32,270.9319,267.45987,286.9565,334.61844,339.65274,407.38095,394.14746,394.179,394.21054,327.23215,326.82242,320.38528,262.0142,190.67589,191.66667,188.04762,191.46631,173.53741,153.69473,143.11214,157.21089,143.336653061225,143.43698,147.30159,153.6243,163.33333,121.28571,120.33117,122.985,117.68908,118.20277,119.62,122.89683
ABIA,"Gari yellow,sold loose / 1Kg",120.21171,124.341705,137.87024,160.46384,198.17722,213.06442,189.32529,192.58806, ,234.11552,230.2264,238.54,310.09073,284.40656,308.30756,350.14603,353.0357,425.6473,428.15668,428.19095,428.2252,354.49734,328.0357,321.91177,302.32718,303.4762,280.4018,256.17346,220.63492,202.8118,188.38625,164.83102,178.7415,159.884489795918,159.99641,166.96428,152.0238,163.02197,124.72527,125.190475,130.31033,128.45238,119.81567,123.17,126.54762
ABIA,"Groundnut oil: 1 bottle, specify bottle",,,,,,,,,,,,,555.87,506.66,526.67,557.78,593.33,606.67,500.67,500.0,540.84,607.58,612.5,616.6667,636.6667,600.0,560.0,560.392,560.89636,565.3425,608.8889,653.3333,655.3145,655.7732201499999,656.3634,666.6667,668.36755,666.6667,670.25397,653.3333,653.72534,625.1302,606.6667,613.33,666.6667
ABIA,Iced Sardine,,,,,,,,,,,,,886.66,935.0204,839.435,863.1543,880.6224,1047.77,1000.595,954.215,966.54297,889.81177,882.62,862.96295,867.8198,929.2267,904.1887,896.6575,870.4545,898.74927,896.4685,912.7826,941.4547,941.9254419975185,950.67896,903.15204,902.4624,889.3141,871.6667,865.0,818.4533,819.6429,803.16,850.64,866.6667
ABIA,Irish potato,,,,,,,,,,,,,249.69,293.965,299.075,302.71667,302.65033,305.615,292.05,307.05,299.4643,291.66666,285.7143,280.0,286.8421,273.38235,309.1947,325.0293,364.2857,325.55554,302.27274,350.0,307.14285,360,318.18182,322.0635,301.02557,334.3728,300.0,320.0,307.36865,300.0,257.14285,294.79,239.28572
ABIA,Mackerel : frozen,,,,,,,,,,,,,1017.425,1055.7346,929.77,938.89215,989.46277,1028.19,1061.995,1055.5,1043.8895,1056.7859,1020.85266,1022.6561,1039.9633,933.44995,914.74677,929.3439,896.4958,919.6392,891.53235,921.99774,970.31537,900,905.81,885.0591,851.1483,896.15063,905.27124,950.1074,919.3311,883.769,864.5319,838.9,818.6734
ABIA,Maize grain white sold loose,,,,,,,,,,,,,201.39,200.0,190.23,200.38,200.0,205.02,216.99,225.31,180.99,205.32,205.33414,202.24953,242.24503,240.50179,251.0832,240.74074,239.48576,247.9798,237.01518,234.44833,238.81313,238.9803005050505,239.19539,239.06566,247.91667,234.77367,245.7265,251.0582,239.04466,189.54248,140.01782,165.37,166.235
ABIA,Maize grain yellow sold loose,,,,,,,,,,,,,201.07,217.3,224.88,238.1,229.94,230.63,247.82,261.52,189.01,210.97,226.93,223.46405,240.56078,261.1111,249.41158,244.76495,248.74551,252.94157,255.78627,240.44612,245.38809,245.53532429558746,250.7563,241.38889,253.11136,244.79167,242.65874,258.95062,244.63115,168.51852,137.84723,192.76,165.52322
ABIA,Mudfish (aro) fresh / 1Kg,780.23,781.16626,782.1037,783.0422,783.9819,784.9226,785.86456,786.80756,787.7517424882578,874.9816,876.03156,877.0828,904.04,1015.22,1059.63,1060.0,1100.25,1098.25,1099.25,1100.79,1100.878,1000.0,1000.0,1001.96,1100.2144,1101.2045,1102.0854,1102.9672,1103.9598,1176.3422,1177.1656,1180.52,1200.143,1201.1031143999999,1210.9438,1225.06,1203.5326,1211.9573,1225.7255,1220.6984,1221.4308,1185.01,1150.014,1156.9141,1203.56
ABIA,Mudfish : dried / 1Kg,2154.365,1925.7317,1995.0342,2198.775,2111.8174,2003.4283,2156.1897,2060.0735,2257.004999999995,2210.424,2267.792,2523.0244,2642.632,2907.8289,2984.7444,2992.769,3035.6643,2892.925,2895.238,2515.2378,2625.3254,2830.5916,2725.3816,2509.8572,2365.4102,2379.6826,2240.5264,2216.1616,2228.3447,2232.564,2275.1323,2244.4443,2358.135,2359.5498015873013,2361.2014,2448.0063,2590.1335,2451.1243,2508.4614,2435.0427,2466.6675,2415.5378,2385.2856,2422.52,2438.0952
ABIA,Onion bulb / 1Kg,207.8841,203.16893,174.75858,181.15396,184.74559,203.50587,219.9475,231.37787,247.8063492063485,220.55109,233.99275,250.12,253.45917,208.27167,267.40265,226.33397,226.12932,228.54791,221.44124,338.91467,342.22223,324.59906,330.07266,298.6597,304.96912,341.3168,297.40088,261.44156,238.93808,232.82361,220.22377,223.6873,249.89241,200.042343231817,200.18237,231.09557,226.9714,248.48325,251.94261,298.19104,272.76862,221.78027,211.14812,224.8,288.88004
ABIA,"Palm oil: 1 bottle,specify bottle",,,,,,,,,,,,,350.98,372.42,347.14,390.75,405.83,423.95,436.77,444.68,430.56,424.58,442.97214,435.18518,448.0645,470.1075,449.8925,420.23077,427.47476,428.57144,451.30435,457.2043,460.2543,460.62250343999995,461.03708,479.36508,464.39716,459.25925,434.2857,438.09525,405.33234,360.74075,375.1613,405.26,426.22223
ABIA,Plantain(ripe),,,,,,,,,,,,,249.78,242.5,275.18,250.73,226.64,230.06,256.77,249.27,251.15,230.4,245.146,245.95805,259.6593,173.38506,203.83595,196.48245,197.2801,202.20976,180.40913,226.9728,204.22545,220,205.0,191.42104,196.58711,187.63792,193.39668,201.75856,206.04308,201.98405,211.69386,222.61,187.61644
ABIA,Plantain(unripe),,,,,,,,,,,,,203.38,193.79,221.19,205.83,200.0,208.99,225.81,197.88,199.4,209.3,215.26894,213.16231,216.22516,200.05347,186.03384,198.63228,183.69528,198.29846,157.56293,188.08556,160.9608,165.438,162.1543,174.03357,180.39882,175.2313,178.85976,179.3378,183.04785,212.04433,196.03558,202.48,189.1367
ABIA,Rice Medium Grained / 1Kg,191.34714,189.37807,243.75981,254.41512,285.13916,331.10028,301.79715,338.48938,400.522499999999,353.84613,414.2855,425.12,443.03,423.17606,390.30304,378.18182,389.22076,383.7594,439.66522,379.35318,375.50504,352.13904,351.7237,348.78787,352.29437,380.16528,384.0,379.63635,354.54544,361.4973,351.51514,367.87878,345.45456,345.6963636363635,346.00748,366.0606,359.95245,357.57574,363.63635,358.27274,360.22812,353.125,338.75598,339.39,343.34927
ABIA,Rice agric sold loose / 1Kg,253.47675,243.099,250.42555,276.49622,323.79013,342.7184,326.2057,361.81912,427.8619999999995,424.1826,427.407,430.44,440.70358,393.0077,386.20914,379.38312,383.20575,376.88464,409.0909,390.92557,366.66666,337.7922,337.18668,337.63956,423.18817,381.81818,400.45456,387.63635,372.14142,357.9406,373.01517,370.66666,370.9091,371.1316363636363,372.16565,381.81818,372.12122,366.43356,370.98254,362.6853,381.8195,354.26575,353.719,336.84,354.2246
ABIA,Rice local sold loose / 1Kg,157.19919,175.11781,215.27144,200.47833,226.79817,271.29657,265.86542,284.34293,352.24607142857053,304.91412,330.90652,359.3085,363.70374,382.84634,366.18182,302.8749,321.6683,324.1436,344.9902,313.78186,324.0634,315.78186,304.54678,302.32596,322.78592,307.91788,335.24243,358.0687,343.64554,346.7821,306.9571,322.3367,317.35538,317.5457851239668,317.83157,291.0951,301.33994,300.76767,307.59515,323.38788,314.8593,316.61615,314.93848,307.43,303.05353
ABIA,"Rice,imported high quality sold loose / 1Kg",220.81566,222.486,293.96368,295.01416,344.01834,374.23358,347.95166,371.94446,448.8062301587295,406.0752,455.9412,456.58,460.38,447.74173,427.63635,421.23456,435.85562,421.2552,436.18472,409.9725,413.23703,403.19864,400.19864,400.48648,416.9208,442.22873,419.34344,424.76486,403.12537,402.77158,398.17917,413.13782,403.47107,403.7535041322311,404.11688,410.74234,400.62506,391.81818,406.66666,402.08316,400.33066,346.21213,376.74963,386.3,388.49182
ABIA,Sweet potato,,,,,,,,,,,,,116.168335,116.00767,112.68,115.502144,114.79503,118.86,120.805,118.765,115.082146,115.89545,110.28267,115.276184,124.24982,139.11008,137.48843,139.05457,126.24909,136.067,127.456154,111.739075,126.53753,130,100.0,145.76527,127.89298,129.26883,148.77403,136.29713,136.14038,136.8926,129.76483,144.51,164.99707
ABIA,Tilapia fish (epiya) fresh,,,,,,,,,,,,,894.65,895.6341,1052.63,1052.63,935.2683,936.2971,937.327,952.45,945.55,938.0,939.0,940.0,976.84485,942.1053,942.85895,943.6132,944.46246,933.3333,933.8933,950.0,1000.0,1008.9999999999999,1009.7063,1015.32,1000.5318,1001.03204,966.64136,955.73486,956.3083,931.3548,914.2857,914.9257,858.21
ABIA,Titus:frozen,,,,,,,,,,,,,844.4375,850.7521,939.99,930.25977,920.11676,912.555,924.43,927.785,897.6545,840.7899,891.5467,882.0665,889.78284,856.8185,995.9768,983.6682,972.6038,930.6673,930.7159,943.4808,947.75134,910,915.637,955.1997,973.6469,1032.1973,1028.5924,983.76324,940.9407,922.3267,927.97504,978.97,989.629
ABIA,Tomato / 1Kg,244.5333,197.86523,180.91226,262.5486,816.7249,658.988,683.8042,304.01068,260.2740625,285.46307,307.34973,311.35,309.65643,306.30875,333.33334,341.97144,421.3263,499.76178,530.60736,460.53937,308.6473,290.48334,285.68552,307.63828,287.46634,276.78003,265.0847,285.80145,347.09082,320.42517,359.26755,347.26935,312.97208,354.191157396525,405.55402,338.61768,321.02658,313.63596,285.79178,303.01974,305.8685,253.1873,196.10477,215.07,260.38022
ABIA,"Vegetable oil:1 bottle,specify bottle",,,,,,,,,,,,,388.39,370.77,396.66,403.99,413.71,428.57,450.25,465.39,452.22,429.21,430.16626,439.08047,430.70114,494.5679,497.33334,592.5926,580.0,596.6667,604.44446,595.4762,605.6863,606.0496862745098,610.59515,603.3333,628.7879,601.4286,615.64105,606.6667,613.13104,581.4815,565.9259,574.71,569.0476
ABIA,Wheat flour: prepacked (golden penny 2kg),,,,,,,,,,,,,645.92,648.33,650.0,627.77,631.94,628.12,651.43,633.33,640.8,629.06,650.0,654.2857,675.0909,650.0,701.53845,711.1111,716.6667,721.4286,716.6667,729.1667,735.0,725,731.25,728.5714,736.6667,744.44446,750.1429,740.5829,735.3857,739.18945,720.0,730.0,744.44446
ABIA,Yam tuber / 1Kg,100.13873,129.6044,128.66048,125.35222,184.89989,208.52786,187.87428,203.14246,171.4538492063485,170.96042,172.70813,178.22,183.68375,172.48941,179.10094,196.72694,254.44556,247.69838,277.67706,271.96124,223.16605,192.71587,191.27345,184.1025,186.84483,171.86931,184.50507,193.59305,207.40097,213.77664,201.98325,217.19423,186.89444,198.025262176194,158.15169,196.30324,177.74544,186.98991,148.54253,185.30354,199.26134,149.06519,167.2293,203.04,212.66998
ABUJA,Agric eggs medium size / 1 Dozen,341.66666,380.0,376.66666,360.0,390.0,414.0,425.0,396.66666,437.5,530.45044,465.0,480.0,495.625,480.0,496.66666,492.33334,483.33334,468.0,430.0,446.66666,432.22223,457.5,370.0,408.57144,433.0,490.0,515.0,520.3333,481.1111,525.33,460.0,446.0,442.0,448,425.0,498.0,464.0,484.0,460.0,492.22223,485.55554,472.5,480.0,454.0,456.0
ABUJA,Agric eggs(medium size price of one) / 1 Piece,30.0,31.25,30.833334,30.0,32.0,33.75,35.0,34.166668,40,39.325436,38.75,40.0,43.4975,41.25,42.0,41.11111,41.98111,40.0,38.0,38.88889,36.666668,39.5,32.5,36.666668,38.5,38.5,40.0,41.11111,38.666668,40.764397,40.012,39.0,39.0,39,38.7,42.0,40.0,41.0,40.0,42.0,42.444443,38.75,39.5,39.0,39.0
ABUJA,"Beans brown,sold loose / 1Kg",292.5,222.9625,221.40834,226.155,258.58176,302.22168,282.3725,258.66666,334.38374999999996,382.44977,359.39835,280.50916,363.36166,367.97665,352.40573,343.7427,348.57144,346.44437,358.8528,375.54443,380.18314,361.33243,313.55,302.10767,367.46085,409.22192,442.2564,410.4094,410.18314,415.8223,430.68967,405.16257,396.9725,391.3001357676728,361.73993,430.68967,394.6954,361.07278,345.65808,357.6083,344.53143,301.58267,285.4844,253.63,224.46213
ABUJA,Beans:white black eye. sold loose / 1Kg,221.66667,279.1225,261.66666,292.425,207.30675,253.96834,250.95541,221.79666,352.8375,309.5828,273.01666,285.22,300.665,280.2675,298.1278,308.73016,314.2857,319.67557,319.26276,339.49777,335.65933,312.7306,302.7306,291.58954,350.0,356.61172,415.89743,408.73016,395.65933,399.0509,376.6788,354.93558,337.1018,335.357142857143,315.79623,376.6788,345.09158,315.9524,305.40128,324.10257,324.81445,329.48718,285.7143,250.23,288.0865
ABUJA,Beef Bone in / 1Kg,800.0,837.5,800.0,756.0833,1051.6362,991.6667,855.74835,941.9575,1205.3575,1117.3389,1000.0,1040.0,979.201,992.105,1013.8889,1044.4445,1225.0,1203.1426,1240.4877,1064.0522,1062.5,1075.0,1100.0,1100.0,1085.7142,1014.2857,1150.0,1100.0,1050.0,1105.0,1054.8077,1075.0,1080.0,1092.85714285714,1055.1417,1287.5,1150.0,1150.0,1090.8334,1023.8095,1150.0,1104.9941,1098.0476,1053.33,1058.3334
ABUJA,"Beef,boneless / 1Kg",1025.0,1025.0,983.3333,1150.0,1133.3334,1225.0,1100.0,1225.0,1250,1386.253,1300.0,1308.3334,1304.57,1500.0,1462.5,1425.0,1410.0,1425.0,1350.0,1411.1111,1450.0,1460.0,1450.0,1304.762,1440.0,1427.2727,1410.0,1450.0,1450.0,1418.1818,1420.0,1400.0,1460.0,1420,1420.0,1405.0,1395.0,1404.0,1470.0,1412.5,1411.1111,1352.5,1298.1626,1262.0,1240.0
ABUJA,Bread sliced 500g / 1 loaf,262.5,250.0,283.33334,270.83334,287.5,287.5,300.0,262.5,297.5,328.49316,343.75,344.02,341.1,307.5,308.33334,340.0,350.0,370.14285,340.0,325.0,325.0,331.25,300.0,303.33334,360.0,325.0,350.0,350.0,325.0,350.0,316.66666,325.0,333.33334,310,308.33334,316.66666,325.0,325.0,325.8535,333.33334,350.0,341.66666,341.66666,341.66,333.33334
ABUJA,Bread unsliced 500g / 1 loaf,241.66667,270.0,200.0,225.0,261.66666,287.5,300.0,262.5,306.25,300.345,316.66666,316.66666,313.09332,301.25,312.5,325.0,333.75082,346.66666,326.66666,325.0,350.0,350.0,325.0,320.0,350.0,325.0,333.33334,340.0,350.0,330.0,316.66666,316.66666,325.0,308.3333333333333,300.0,316.66666,325.0,300.0,316.66666,316.66666,341.66666,325.0,321.42856,325.0,333.33334
ABUJA,Broken Rice (Ofada) / 1Kg,369.77,370.5465,371.32468,372.10446,372.88586,373.6689,374.45364,375.24,376.02798747247755,388.07962,388.8946,389.71127,371.23,376.56,390.0,393.33334,420.00958,430.0,425.0048,433.23,433.26465,430.55,450.55,450.0,454.1544,454.47232,421.25,421.587,424.11652,455.86206,440.32257,438.5648,440.67484,400,440.86023,420.32257,420.57477,448.83203,439.2903,426.2903,433.74686,430.09,415.03,415.27902,405.36
ABUJA,Catfish (obokun) fresh,,,,,,,,,,,,,799.825,795.1225,1017.86,1008.3333,1106.0999,1087.3,1032.615,958.695,849.2493,867.23,875.0,865.0,886.1111,989.0765,1050.0,950.3333,1105.0,1187.2009,1078.3972,1131.7073,1128.0488,1262.25872462806,1172.683,1350.0,1321.6376,1316.6666,1320.9105,1350.0,1368.292,1330.0,1282.683,1245.68,1290.2439
ABUJA,Catfish :dried,,,,,,,,,,,,,2155.582,2000.0,2009.285,2018.57,2062.272,2105.9736,2029.81,1953.6462,1932.1561,2184.524,2250.0,2100.0,2309.524,2144.697,1982.2943,1892.4603,1950.2025,1969.597,2098.718,2169.2307,2192.3076,1996.84667184667,1905.1881,2198.718,2135.3845,2303.4966,2233.1118,2126.6667,2179.665,2109.1208,2105.3845,2095.04,2138.1118
ABUJA,Catfish Smoked,,,,,,,,,,,,,1916.4933,1902.0342,1839.8,1774.4059,1785.0,1726.19,1717.9,1700.275,1681.572,1675.55,1665.55,1655.85,1708.2733,1709.8108,1711.0077,1712.5476,1722.8229,1735.2355,1736.2766,1726.0,1833.3334,1800,1812.4866,1820.3011,1821.7574,1823.2148,1825.8645,1827.3252,1824.5405,1789.21,1766.25,1767.3097,1802.34
ABUJA,Chicken Feet / 1Kg,769.11,770.72516,772.3436,773.9656,775.5909,777.21967,778.8518,780.48737,782.1264176243536,730.4611,731.5751,750.0,784.66,700.11,742.385,750.0,786.3078,768.1539,777.23083,769.11,769.14844,760.4,759.98,755.0,774.29913,774.8411,775.38354,776.00385,779.88385,750.67426,735.0,737.1432,735.588,710.5234,705.0,695.0,695.417,695.9038,700.3754,700.9357,701.4264,695.15,655.01,655.4685,659.0
ABUJA,Chicken Wings / 1Kg,750.0,750.735,751.47156,850.0,870.0,850.85,870.87,851.70087,871.7408699999997,852.55255,872.6126,853.4051,825.965,1000.0,1012.9825,1015.0,1027.6996,1100.0,1063.8497,1125.01,1125.1112,1100.0,1000.0,1000.0,1150.0,1225.0,950.0,900.0,906.3,1100.0,1000.0,1020.0,1102.5,1150,1125.0,1200.0,1200.3217,1225.0,1250.0,1233.3334,1200.0,1150.0,1100.03,1125.0,1120.39
ABUJA,Dried Fish Sardine,,,,,,,,,,,,,1873.96,1875.5813,1977.2045,1934.09,1978.7174,1950.0,2001.65,2000.33,2000.55,2000.45,2000.25,2000.78,2067.55,2069.411,2070.8594,1934.091,1945.6954,1877.7778,1729.1666,1705.7865,1730.55,1654.54545454545,1590.909,1590.909,1593.3334,1605.0,1650.0,1533.3334,1534.4066,1576.0,1550.0,1600.0,1557.1428
ABUJA,Evaporated tinned milk carnation 170g / 1 unit,120.11,120.36223,120.61499,120.868286,121.12211,121.376465,121.631355,121.88678,122.14274163755654,120.61582,120.848114,121.0809,120.04,134.43,137.235,138.88,150.29208,144.58604,147.43906,153.33333,157.77777,160.0,159.0,159.12,160.113,160.22508,160.33723,160.4655,161.4283,170.0,170.13,170.0154,170.2661,170.30689,172.2154,171.35,171.50421,171.58997,169.85764,169.94257,165.0,165.842,162.34,170.0,160.0
